Zákazník,Datum,Produkt (produkty)
customer-21666,2023-10-31 12:49:48,"1× book-086, 1× book-003, 1× book-003, 1× book-003, 1× book-088, 1× book-088, 1× book-088, 2× book-032, 1× book-088"
customer-21667,2023-10-31 12:10:41,1× book-021
customer-21668,2023-10-31 11:13:16,"1× book-042, 1× book-047"
customer-21670,2023-10-31 10:09:01,1× book-032
customer-15162,2023-10-31 09:53:50,"1× book-003, 1× book-014"
customer-21672,2023-10-31 09:37:03,"1× book-042, 1× book-087, 1× book-088"
customer-20197,2023-10-31 08:34:19,1× book-032
customer-12098,2023-10-31 05:38:15,"1× book-014, 1× book-014, 1× book-014"
customer-21676,2023-10-30 23:17:37,"1× book-051, 1× book-074"
customer-21678,2023-10-30 20:33:02,1× book-042
customer-21679,2023-10-30 19:52:29,"1× book-074, 1× book-074, 1× book-074"
customer-21681,2023-10-30 19:29:19,"1× book-061, 1× book-007"
customer-1706,2023-10-30 17:10:27,1× book-042
customer-130,2023-10-30 16:43:50,1× book-047
customer-21235,2023-10-30 16:11:57,1× book-042
customer-21683,2023-10-30 13:56:00,1× book-032
customer-21685,2023-10-30 12:34:36,1× book-042
customer-842,2023-10-30 12:22:02,"1× book-042, 1× book-048, 1× book-021"
customer-14980,2023-10-30 11:24:48,1× book-051
customer-6344,2023-10-30 08:41:12,"1× book-042, 2× book-021"
customer-21687,2023-10-30 07:30:35,"1× book-061, 1× book-061, 1× book-061"
customer-21688,2023-10-29 22:39:01,"1× book-028, 1× book-028, 1× book-028"
customer-1392,2023-10-29 21:25:53,"1× book-012, 1× book-012, 1× book-012"
customer-21689,2023-10-29 20:43:31,1× book-042
customer-378,2023-10-29 20:16:19,1× book-047
customer-246,2023-10-29 19:59:51,2× book-042
customer-21692,2023-10-29 19:29:14,"1× book-035, 1× book-035, 1× book-035"
customer-6954,2023-10-29 18:15:13,"1× book-001, 1× book-001, 1× book-001, 1× book-000, 1× book-000, 1× book-000, 1× book-032, 1× book-032, 1× book-032, 1× book-100"
customer-21694,2023-10-29 15:22:20,1× book-042
customer-9810,2023-10-29 14:41:52,"1× book-042, 1× book-104"
customer-2244,2023-10-29 13:55:24,"1× book-004, 1× book-004, 1× book-004, 1× book-020, 1× book-020, 1× book-020"
customer-21697,2023-10-29 11:40:48,"1× book-032, 1× book-032, 1× book-032"
customer-9636,2023-10-29 10:29:00,1× book-042
customer-21700,2023-10-29 08:09:26,"1× book-032, 1× book-032, 1× book-032"
customer-2383,2023-10-29 07:49:15,1× book-047
customer-10996,2023-10-28 22:31:59,1× book-047
customer-3132,2023-10-28 21:45:46,1× book-042
customer-2680,2023-10-28 20:49:31,"1× book-042, 1× book-047"
customer-21288,2023-10-28 18:03:05,"1× book-032, 1× book-001"
customer-21703,2023-10-28 17:57:11,"1× book-042, 1× book-028, 1× book-008"
customer-21704,2023-10-28 16:32:53,1× book-038
customer-21706,2023-10-28 15:32:30,1× book-042
customer-6022,2023-10-28 15:28:12,1× book-089
customer-21708,2023-10-28 14:01:23,1× book-042
customer-21709,2023-10-28 13:14:55,1× book-119
customer-21711,2023-10-28 12:53:21,1× book-003
customer-21712,2023-10-28 11:09:36,1× book-021
customer-1251,2023-10-28 10:44:01,1× book-028
customer-6446,2023-10-28 06:29:06,1× book-042
customer-21701,2023-10-27 22:54:31,"1× book-048, 1× book-048, 1× book-048"
customer-21715,2023-10-27 22:26:35,"1× book-032, 1× book-032, 1× book-032"
customer-21716,2023-10-27 17:57:03,"1× book-034, 1× book-107, 1× book-008, 1× book-045"
customer-7958,2023-10-27 16:50:22,1× book-014
customer-21717,2023-10-27 16:15:06,1× book-032
customer-21719,2023-10-27 14:38:33,"1× book-038, 1× book-038, 1× book-038, 1× book-056, 1× book-056, 1× book-056"
customer-21720,2023-10-27 14:31:33,"1× book-000, 1× book-000, 1× book-000"
customer-21721,2023-10-27 13:22:12,"1× book-038, 1× book-038, 1× book-038"
customer-21723,2023-10-27 11:55:46,1× merch-006
customer-15254,2023-10-27 11:28:56,1× book-119
customer-21724,2023-10-27 11:20:32,"1× book-038, 1× book-038, 1× book-038"
customer-21726,2023-10-27 10:43:36,"1× book-039, 1× book-039, 1× book-039"
customer-9999,2023-10-27 10:25:59,"1× book-008, 1× book-021, 1× book-042, 1× book-056, 1× book-056, 1× book-056"
customer-21727,2023-10-27 10:04:33,"1× book-012, 1× book-012, 1× book-012"
customer-13541,2023-10-27 00:03:57,"1× book-082, 1× book-082, 1× book-082"
customer-21729,2023-10-26 22:12:51,2× book-042
customer-21730,2023-10-26 20:43:47,1× book-047
customer-12448,2023-10-26 20:22:53,1× book-061
customer-6557,2023-10-26 20:02:05,1× book-051
customer-21734,2023-10-26 19:09:39,1× book-094
customer-21735,2023-10-26 17:52:19,1× book-042
customer-21736,2023-10-26 16:15:15,1× book-023
customer-7456,2023-10-26 15:15:53,"1× book-081, 1× book-081, 1× book-081"
customer-21738,2023-10-26 14:53:43,1× book-042
customer-21740,2023-10-26 14:22:25,"1× book-061, 1× book-107, 1× book-120"
customer-10480,2023-10-26 13:32:49,5× book-119
customer-11608,2023-10-26 12:10:24,1× book-047
customer-752,2023-10-26 10:46:08,1× book-007
customer-21744,2023-10-26 10:19:36,1× book-032
customer-21746,2023-10-26 08:57:28,1× book-001
customer-666,2023-10-26 08:10:03,1× book-042
customer-21748,2023-10-26 06:04:10,"1× book-032, 1× book-032, 1× book-032"
customer-21749,2023-10-25 21:37:44,"1× book-061, 1× book-061, 1× book-061"
customer-21750,2023-10-25 21:25:38,1× book-048
customer-6544,2023-10-25 21:15:19,"1× book-042, 1× book-070"
customer-21753,2023-10-25 19:41:49,1× book-042
customer-21755,2023-10-25 18:43:14,1× book-001
customer-13922,2023-10-25 18:20:50,1× book-007
customer-21758,2023-10-25 18:07:57,1× book-094
customer-14292,2023-10-25 17:23:01,1× book-042
customer-2973,2023-10-25 15:03:45,1× book-125
customer-10565,2023-10-25 14:51:12,1× book-126
customer-18333,2023-10-25 13:52:43,"1× book-013, 1× book-013, 1× book-013, 1× book-013, 1× book-042, 1× book-042, 1× book-042, 1× book-042, 1× book-070, 1× book-070, 1× book-070, 1× book-070, 1× book-061, 1× book-061, 1× book-061, 1× book-061"
customer-9908,2023-10-25 13:20:23,"1× book-008, 1× book-008, 1× book-008, 1× book-042, 1× book-042, 1× book-042"
customer-14693,2023-10-25 13:14:28,1× book-047
customer-21203,2023-10-25 13:03:18,"1× book-061, 1× book-061, 1× book-061"
customer-21718,2023-10-25 12:47:22,1× book-018
customer-7724,2023-10-25 12:20:43,"1× book-048, 1× book-048, 1× book-048"
customer-11392,2023-10-25 11:51:27,"1× book-028, 1× book-074, 1× book-064"
customer-21162,2023-10-25 10:53:04,1× book-042
customer-21763,2023-10-25 10:18:29,1× book-104
customer-5403,2023-10-25 10:00:45,"1× book-084, 1× book-084, 1× book-084"
customer-21765,2023-10-25 09:35:39,1× book-056
customer-21767,2023-10-25 09:13:32,2× book-042
customer-5403,2023-10-25 08:48:39,"1× book-104, 1× book-104, 1× book-104"
customer-21769,2023-10-25 07:17:45,"1× book-008, 1× book-008, 1× book-008"
customer-21771,2023-10-25 06:36:46,"1× book-042, 1× book-047, 1× book-008"
customer-21773,2023-10-25 03:20:31,1× book-127
customer-21775,2023-10-24 22:18:04,1× book-042
customer-10543,2023-10-24 21:34:23,"1× book-042, 1× book-048, 1× book-042"
customer-21777,2023-10-24 21:25:15,1× book-104
customer-3565,2023-10-24 21:18:21,"1× book-042, 1× book-042"
customer-21779,2023-10-24 21:13:03,1× book-042
customer-21780,2023-10-24 20:18:45,1× book-028
customer-21781,2023-10-24 20:08:31,"1× book-000, 1× book-032"
customer-187,2023-10-24 19:56:23,"1× book-032, 1× book-047, 1× book-047, 1× book-047"
customer-21783,2023-10-24 19:41:18,"1× book-064, 1× book-034, 1× book-103, 1× book-127"
customer-5812,2023-10-24 19:11:42,1× book-048
customer-7931,2023-10-24 18:36:03,"1× book-028, 1× book-028, 1× book-028"
customer-21785,2023-10-24 16:32:17,1× book-042
customer-16761,2023-10-24 16:14:55,1× book-047
customer-15328,2023-10-24 15:47:34,"1× book-042, 1× book-042, 1× book-042"
customer-21786,2023-10-24 15:25:36,"1× book-000, 1× book-000, 1× book-000, 1× book-039, 1× book-039, 1× book-039"
customer-21787,2023-10-24 15:03:11,1× book-042
customer-21789,2023-10-24 14:35:15,1× book-023
customer-9517,2023-10-24 13:20:13,1× book-042
customer-19152,2023-10-24 13:13:43,1× book-042
customer-21791,2023-10-24 13:08:20,1× book-042
customer-10524,2023-10-24 11:26:35,1× book-105
customer-16992,2023-10-24 11:17:35,1× book-042
customer-11530,2023-10-24 10:28:54,"1× book-032, 1× book-001, 1× book-051"
customer-10235,2023-10-24 10:16:03,"1× book-000, 1× book-000, 1× book-000"
customer-21794,2023-10-24 09:35:43,"1× book-028, 1× book-028, 1× book-028"
customer-848,2023-10-24 09:06:06,"1× book-015, 1× book-015, 1× book-015"
customer-428,2023-10-24 07:45:59,"1× book-048, 1× book-048, 1× book-048"
customer-21797,2023-10-24 05:47:11,1× book-042
customer-21799,2023-10-24 01:17:01,1× merch-008
customer-21800,2023-10-23 21:52:21,1× book-000
customer-21802,2023-10-23 20:49:48,"1× book-023, 1× book-015, 1× book-124, 1× book-082, 1× book-060, 1× book-065, 1× book-103, 1× book-125"
customer-21803,2023-10-23 19:59:32,1× book-035
customer-2171,2023-10-23 18:13:54,"1× book-017, 1× book-008, 1× book-048"
customer-1239,2023-10-23 17:48:07,1× book-101
customer-21805,2023-10-23 17:07:10,1× book-042
customer-21806,2023-10-23 16:29:03,1× book-017
customer-5490,2023-10-23 15:55:30,"1× book-020, 1× book-020, 1× book-020"
customer-21809,2023-10-23 15:14:02,"1× book-017, 1× book-017, 1× book-017"
customer-21810,2023-10-23 14:46:54,"1× book-032, 1× book-032, 1× book-032"
customer-21812,2023-10-23 13:42:55,"1× book-127, 1× book-127, 1× book-127, 1× book-127"
customer-18799,2023-10-23 13:11:48,1× book-061
customer-63,2023-10-23 11:35:56,1× book-061
customer-21814,2023-10-23 10:22:22,1× book-126
customer-21815,2023-10-23 09:19:19,1× book-047
customer-21817,2023-10-23 09:10:45,"1× book-051, 1× book-059"
customer-21819,2023-10-23 08:22:55,1× book-042
customer-21821,2023-10-23 08:10:25,"1× book-020, 1× book-020, 1× book-020"
customer-21822,2023-10-23 06:39:55,1× book-023
customer-21823,2023-10-23 06:08:35,1× book-032
customer-21825,2023-10-22 23:16:30,1× book-032
customer-11921,2023-10-22 22:24:24,"1× book-070, 1× book-070, 1× book-070"
customer-21828,2023-10-22 22:05:22,1× book-061
customer-21830,2023-10-22 21:40:22,"1× book-048, 1× book-048, 1× book-048"
customer-13495,2023-10-22 21:00:19,1× merch-006
customer-4890,2023-10-22 20:49:00,1× book-018
customer-21832,2023-10-22 20:20:59,"1× book-110, 1× book-023"
customer-21833,2023-10-22 20:15:05,"1× book-064, 1× book-008"
customer-21834,2023-10-22 19:37:13,"1× book-029, 1× book-029, 1× book-029, 1× book-029"
customer-21836,2023-10-22 19:10:53,"1× book-110, 1× book-053, 1× book-007"
customer-3143,2023-10-22 16:01:56,1× book-047
customer-21838,2023-10-22 14:32:09,"1× book-078, 1× book-139"
customer-21839,2023-10-22 13:03:22,"1× book-048, 1× book-048, 1× book-048"
customer-21840,2023-10-22 12:10:05,"1× book-000, 1× book-001"
customer-21841,2023-10-22 11:21:57,"1× book-061, 1× book-061, 1× book-061"
customer-21842,2023-10-22 09:27:29,"1× book-075, 1× book-075, 1× book-075, 1× book-078, 1× book-078, 1× book-078"
customer-21844,2023-10-22 08:38:06,1× book-061
customer-12448,2023-10-22 07:02:36,1× book-047
customer-21846,2023-10-21 23:34:17,1× book-039
customer-9314,2023-10-21 21:26:56,"1× book-023, 1× book-042, 1× book-051"
customer-14331,2023-10-21 20:34:40,1× book-047
customer-16710,2023-10-21 20:09:14,"1× book-061, 1× book-061, 1× book-061"
customer-3343,2023-10-21 20:05:23,1× book-062
customer-18792,2023-10-21 17:22:48,1× merch-009
customer-21849,2023-10-21 15:33:16,1× book-047
customer-21850,2023-10-21 15:11:18,"1× book-063, 1× book-056, 1× book-128"
customer-21852,2023-10-21 13:07:36,1× book-047
customer-21853,2023-10-21 11:11:02,1× book-141
customer-4535,2023-10-21 10:50:09,"1× book-065, 1× book-060"
customer-21855,2023-10-21 10:25:36,"1× book-061, 1× book-061, 1× book-061"
customer-21857,2023-10-21 08:32:43,1× book-032
customer-21858,2023-10-21 07:07:54,"1× book-051, 1× book-051, 1× book-051, 1× book-028, 1× book-028, 1× book-028"
customer-21860,2023-10-20 23:00:07,"1× book-014, 1× book-014, 1× book-014"
customer-7182,2023-10-20 21:43:12,"1× book-012, 1× book-012, 1× book-012"
customer-2867,2023-10-20 20:35:28,"1× book-000, 1× book-000, 1× book-000"
customer-21864,2023-10-20 20:10:54,"1× book-048, 1× book-048, 1× book-048"
customer-21866,2023-10-20 18:01:04,"2× book-012, 1× book-020, 1× book-020, 1× book-020"
customer-13216,2023-10-20 17:50:27,1× book-032
customer-2694,2023-10-20 14:37:30,"1× book-119, 1× book-119, 1× book-119"
customer-21134,2023-10-20 11:12:36,1× book-047
customer-21870,2023-10-20 10:46:47,1× book-032
customer-21871,2023-10-20 10:28:50,"1× book-032, 2× book-001"
customer-21873,2023-10-20 10:11:00,1× book-064
customer-21874,2023-10-19 23:01:52,1× book-032
customer-8401,2023-10-19 20:51:22,"1× book-051, 1× book-051, 1× book-051, 1× book-007, 1× book-007, 1× book-007, 1× book-038, 1× book-038, 1× book-038, 1× book-048, 1× book-048, 1× book-048, 1× book-038, 1× book-038, 1× book-038"
customer-21876,2023-10-19 19:03:49,1× book-104
customer-21878,2023-10-19 17:14:46,"1× book-086, 1× book-086, 1× book-086"
customer-21879,2023-10-19 17:08:42,"1× book-012, 1× book-012, 1× book-012"
customer-21880,2023-10-19 14:49:33,"1× book-137, 1× book-137, 1× book-137"
customer-21882,2023-10-19 13:33:07,1× book-032
customer-1247,2023-10-19 13:25:28,"1× book-042, 1× book-012, 1× book-023, 1× book-065, 1× book-137"
customer-21883,2023-10-19 12:28:16,"1× book-013, 1× book-017, 1× book-051"
customer-1429,2023-10-19 12:22:58,"1× book-047, 1× book-032"
customer-14961,2023-10-19 12:06:10,1× book-051
customer-2215,2023-10-19 10:46:51,"1× book-047, 1× book-047, 1× book-047"
customer-21887,2023-10-19 08:52:48,1× book-035
customer-7200,2023-10-19 08:11:38,"1× book-004, 1× book-004, 1× book-004"
customer-21889,2023-10-19 07:13:52,"1× book-012, 1× book-012, 1× book-012"
customer-21891,2023-10-18 23:32:22,"1× book-039, 1× book-048"
customer-21892,2023-10-18 21:57:40,1× book-047
customer-21894,2023-10-18 21:09:53,1× book-004
customer-21895,2023-10-18 21:04:13,1× book-081
customer-21896,2023-10-18 20:49:17,"1× book-061, 1× book-017, 1× book-017, 1× book-017"
customer-21890,2023-10-18 19:08:26,"1× book-047, 1× book-119, 1× book-112, 1× book-063, 1× book-089"
customer-21897,2023-10-18 18:55:48,"1× book-020, 1× book-074, 1× book-012"
customer-5948,2023-10-18 18:41:58,1× book-008
customer-21900,2023-10-18 17:22:59,1× book-028
customer-8231,2023-10-18 16:19:29,"2× merch-009, 2× book-147, 2× book-047"
customer-8235,2023-10-18 14:53:04,"2× book-047, 2× book-147"
customer-21902,2023-10-18 14:19:02,1× book-032
customer-8710,2023-10-18 13:54:40,1× book-047
customer-7395,2023-10-18 13:06:10,1× book-047
customer-3813,2023-10-18 11:55:13,"1× book-047, 1× book-047, 1× book-047"
customer-94,2023-10-18 10:48:20,1× book-149
customer-21907,2023-10-18 10:22:13,1× book-032
customer-6908,2023-10-18 09:12:12,"1× book-047, 1× book-105"
customer-21908,2023-10-18 06:39:13,4× book-017
customer-87,2023-10-18 05:45:01,1× book-047
customer-863,2023-10-17 23:02:55,1× book-047
customer-21911,2023-10-17 22:35:07,1× book-047
customer-21913,2023-10-17 18:50:15,"1× book-023, 1× book-023, 1× book-023"
customer-21914,2023-10-17 18:06:25,1× book-056
customer-12864,2023-10-17 16:28:33,"1× book-061, 1× book-061, 1× book-061"
customer-21916,2023-10-17 15:44:55,"1× book-074, 1× book-074, 1× book-074"
customer-18820,2023-10-17 12:34:54,"1× book-003, 1× book-008"
customer-6865,2023-10-17 10:09:40,1× book-032
customer-21919,2023-10-17 08:28:51,"1× book-004, 1× book-004, 1× book-004"
customer-3297,2023-10-17 07:41:27,1× book-047
customer-21922,2023-10-17 06:32:44,1× book-032
customer-5212,2023-10-16 23:50:53,1× book-047
customer-21924,2023-10-16 22:16:43,"1× book-042, 1× book-042, 1× book-042"
customer-5050,2023-10-16 21:57:23,"1× book-074, 1× book-077, 1× book-060, 1× book-110"
customer-21927,2023-10-16 21:07:09,1× book-078
customer-21928,2023-10-16 20:20:03,1× book-094
customer-3793,2023-10-16 19:38:45,"1× book-047, 1× book-034, 1× book-141, 1× book-019, 1× book-006"
customer-21931,2023-10-16 16:59:27,1× book-032
customer-21932,2023-10-16 16:34:19,"1× book-047, 1× book-047, 1× book-047"
customer-21934,2023-10-16 14:45:34,"1× book-042, 1× book-042, 1× book-042, 1× book-074, 1× book-074, 1× book-074, 1× book-008, 1× book-008, 1× book-008"
customer-21936,2023-10-16 13:58:44,1× book-032
customer-21937,2023-10-16 12:34:43,1× book-047
customer-4396,2023-10-16 11:18:08,"1× book-047, 1× book-047, 1× book-047"
customer-2538,2023-10-16 10:16:45,1× book-047
customer-12446,2023-10-16 10:00:14,1× book-047
customer-6281,2023-10-16 08:54:24,1× book-042
customer-8711,2023-10-16 08:23:49,1× book-047
customer-702,2023-10-16 06:26:32,"1× book-047, 1× book-047, 1× book-047"
customer-240,2023-10-16 01:41:30,1× book-047
customer-21943,2023-10-15 22:23:11,1× book-073
customer-595,2023-10-15 21:48:09,"1× book-076, 1× book-076, 1× book-076"
customer-7509,2023-10-15 20:50:26,"1× book-042, 1× book-042, 1× book-042"
customer-21945,2023-10-15 20:35:44,1× book-032
customer-21946,2023-10-15 20:16:04,1× book-032
customer-21948,2023-10-15 19:30:20,"1× book-023, 1× book-023, 1× book-023"
customer-21427,2023-10-15 17:29:36,1× book-014
customer-21949,2023-10-15 17:11:35,1× book-008
customer-2444,2023-10-15 16:40:13,1× book-047
customer-21952,2023-10-15 16:02:42,1× book-029
customer-2541,2023-10-15 15:24:04,1× book-047
customer-21955,2023-10-15 14:59:00,1× book-017
customer-9563,2023-10-15 14:09:38,"1× book-073, 1× book-073, 1× book-073"
customer-21957,2023-10-15 12:49:48,1× book-039
customer-21958,2023-10-15 10:03:59,1× book-032
customer-21289,2023-10-15 09:06:41,1× book-047
customer-21960,2023-10-15 08:13:11,1× book-032
customer-2687,2023-10-15 07:26:10,1× book-047
customer-1938,2023-10-15 07:12:58,1× book-032
customer-4078,2023-10-15 00:27:08,1× book-047
customer-6339,2023-10-14 21:58:06,"1× book-074, 1× book-074, 1× book-074, 1× book-124, 1× book-124, 1× book-124, 1× book-103, 1× book-103, 1× book-103"
customer-21965,2023-10-14 21:14:14,1× book-039
customer-21966,2023-10-14 20:43:05,"1× merch-009, 1× book-001"
customer-4111,2023-10-14 20:16:25,"1× book-042, 1× book-042, 1× book-042"
customer-21969,2023-10-14 19:51:16,1× book-047
customer-21971,2023-10-14 19:06:42,1× book-032
customer-21972,2023-10-14 18:13:58,1× book-078
customer-21912,2023-10-14 16:43:26,1× book-032
customer-4535,2023-10-14 15:31:38,"1× book-114, 1× book-114, 1× book-114, 1× book-056, 1× book-056, 1× book-056"
customer-21974,2023-10-14 15:09:49,"1× book-017, 1× book-144, 1× book-042, 1× book-089, 1× book-070, 1× book-136"
customer-21975,2023-10-14 13:44:17,"1× book-032, 1× book-032, 1× book-032"
customer-21977,2023-10-14 12:52:23,1× book-048
customer-20087,2023-10-14 11:00:41,1× book-047
customer-21980,2023-10-14 10:40:40,"1× merch-010, 1× merch-009, 1× book-032, 1× book-001, 1× book-000"
customer-5249,2023-10-14 10:24:56,1× book-042
customer-21982,2023-10-14 09:33:20,"1× book-032, 1× book-001, 1× book-000, 1× book-000, 1× book-000"
customer-21984,2023-10-14 08:32:03,"1× book-042, 1× book-042, 1× book-042"
customer-21986,2023-10-13 23:21:24,1× book-047
customer-2250,2023-10-13 21:54:43,"1× book-011, 1× book-013, 1× book-013, 1× book-013, 1× book-006, 1× book-006, 1× book-006, 1× book-086, 1× book-086, 1× book-086, 1× book-003, 1× book-003, 1× book-003"
customer-9508,2023-10-13 21:15:37,1× book-047
customer-4160,2023-10-13 21:01:02,"1× merch-010, 1× merch-011, 1× book-032"
customer-21989,2023-10-13 20:33:37,1× book-005
customer-3320,2023-10-13 19:10:59,"1× book-047, 1× book-042, 1× book-015"
customer-21992,2023-10-13 18:35:23,"1× merch-012, 1× merch-011, 1× book-032, 1× book-001, 1× book-000"
customer-21994,2023-10-13 17:15:24,"1× book-047, 1× book-047, 1× book-047"
customer-21996,2023-10-13 17:09:57,"1× merch-012, 1× merch-011, 1× book-032, 1× book-001, 1× book-000"
customer-21998,2023-10-13 17:06:17,1× book-047
customer-7665,2023-10-13 16:53:02,1× book-023
customer-22001,2023-10-13 16:19:55,"1× book-042, 1× book-042, 1× book-042"
customer-22002,2023-10-13 15:43:11,1× book-047
customer-3665,2023-10-13 14:48:20,"1× book-047, 1× book-032, 1× book-042"
customer-22004,2023-10-13 14:05:15,"1× book-012, 1× book-014, 1× book-011"
customer-22006,2023-10-13 13:55:06,1× book-032
customer-22008,2023-10-13 13:22:57,"1× book-032, 1× book-092"
customer-22009,2023-10-13 13:05:58,1× book-047
customer-22011,2023-10-13 12:25:43,"1× book-098, 1× book-098, 1× book-098"
customer-22013,2023-10-13 11:37:08,"1× book-038, 1× book-038, 1× book-038"
customer-4222,2023-10-13 11:18:48,"1× book-105, 1× book-105, 1× book-105"
customer-2064,2023-10-13 11:17:09,"1× book-140, 1× book-140, 1× book-140, 1× book-047, 1× book-038, 1× book-038, 1× book-038"
customer-22015,2023-10-13 10:37:42,"1× book-061, 1× book-014"
customer-22016,2023-10-13 09:26:58,"1× book-012, 1× book-013, 1× book-056"
customer-22017,2023-10-13 09:09:32,"2× book-023, 1× book-047"
customer-13757,2023-10-13 08:36:39,1× book-047
customer-2673,2023-10-13 07:42:02,"2× book-047, 1× book-051"
customer-22019,2023-10-13 07:27:40,1× book-023
customer-15137,2023-10-13 06:58:47,1× book-094
customer-4490,2023-10-13 01:21:07,"1× book-047, 1× book-042, 1× book-051"
customer-207,2023-10-13 00:07:47,1× book-047
customer-21916,2023-10-12 23:04:36,"1× book-020, 1× book-020, 1× book-020"
customer-1182,2023-10-12 21:50:36,1× book-047
customer-15464,2023-10-12 21:20:21,"1× book-047, 1× book-047, 1× book-047"
customer-22024,2023-10-12 21:02:41,1× book-012
customer-1876,2023-10-12 20:22:15,1× book-047
customer-3513,2023-10-12 19:48:13,1× book-047
customer-7785,2023-10-12 18:55:27,1× book-047
customer-3776,2023-10-12 18:03:53,"1× book-047, 1× book-042"
customer-22026,2023-10-12 17:33:21,"1× book-029, 1× book-029, 1× book-029"
customer-4029,2023-10-12 16:53:40,"1× book-047, 1× book-047, 1× book-047"
customer-11232,2023-10-12 16:28:38,"1× book-000, 1× book-000, 1× book-000, 1× book-064, 1× book-064, 1× book-064"
customer-17918,2023-10-12 16:07:44,"1× book-047, 1× book-047, 1× book-047, 1× book-028, 1× book-028, 1× book-028"
customer-14693,2023-10-12 15:58:11,"1× book-023, 1× book-023, 1× book-023, 1× book-042, 1× book-042, 1× book-042, 1× book-118, 1× book-118, 1× book-118, 1× book-074, 1× book-074, 1× book-074"
customer-11389,2023-10-12 15:44:24,1× merch-006
customer-9672,2023-10-12 15:09:11,1× book-047
customer-2275,2023-10-12 15:05:10,1× book-047
customer-5045,2023-10-12 14:34:20,1× book-047
customer-8434,2023-10-12 14:31:07,"1× book-047, 1× book-047, 1× book-047"
customer-11231,2023-10-12 14:11:49,1× book-047
customer-22029,2023-10-12 13:35:30,1× book-047
customer-22031,2023-10-12 12:26:28,1× book-032
customer-2116,2023-10-12 11:49:51,"1× book-032, 1× book-047, 1× book-047, 1× book-047, 1× merch-001, 1× merch-013"
customer-22033,2023-10-12 11:10:45,"1× book-017, 1× book-017, 1× book-017, 1× book-017"
customer-22035,2023-10-12 10:50:07,1× book-032
customer-4641,2023-10-12 10:09:59,1× book-047
customer-13604,2023-10-12 08:24:06,1× book-004
customer-22038,2023-10-12 07:46:38,"1× book-039, 1× book-039, 1× book-039, 1× book-104, 1× book-104, 1× book-104, 1× book-075, 1× book-075, 1× book-075, 1× book-014"
customer-2589,2023-10-12 04:41:33,1× book-008
customer-10446,2023-10-11 23:06:19,"1× book-051, 1× book-051, 1× book-051"
customer-22041,2023-10-11 22:23:31,"1× book-103, 1× book-073, 1× book-038"
customer-7014,2023-10-11 22:04:30,1× book-032
customer-22043,2023-10-11 20:58:52,1× book-017
customer-3639,2023-10-11 20:43:24,1× book-047
customer-10049,2023-10-11 20:22:04,1× book-047
customer-7612,2023-10-11 18:07:39,"1× book-047, 1× book-047, 1× book-047"
customer-3393,2023-10-11 18:02:42,1× book-047
customer-22047,2023-10-11 17:23:33,"1× book-006, 1× book-074, 1× book-042, 1× book-007"
customer-4533,2023-10-11 15:43:44,"1× book-047, 1× book-032, 1× book-103"
customer-22049,2023-10-11 15:27:57,"1× book-003, 1× book-003, 1× book-003"
customer-3388,2023-10-11 14:36:42,1× book-038
customer-3081,2023-10-11 14:18:23,1× book-047
customer-1239,2023-10-11 12:58:05,1× book-051
customer-1947,2023-10-11 12:38:04,1× book-047
customer-22053,2023-10-11 12:14:07,"1× book-012, 1× book-012, 1× book-012"
customer-102,2023-10-11 11:52:42,1× book-047
customer-247,2023-10-11 11:32:53,"3× book-047, 2× book-032, 1× book-042, 1× book-056, 1× book-051"
customer-22056,2023-10-11 11:02:13,"1× book-042, 1× book-042, 1× book-042"
customer-4260,2023-10-11 10:06:23,1× book-047
customer-22059,2023-10-11 09:47:38,1× book-032
customer-15299,2023-10-11 09:27:27,"2× book-047, 2× book-042, 2× book-032"
customer-8924,2023-10-11 08:56:11,1× book-047
customer-21209,2023-10-11 07:43:07,"1× book-074, 1× book-074, 1× book-074"
customer-22061,2023-10-11 07:23:54,1× book-048
customer-2503,2023-10-11 06:32:50,1× book-047
customer-16408,2023-10-10 23:49:39,"1× book-047, 1× book-047, 1× book-047, 1× book-042, 1× book-051, 1× book-023, 1× book-015"
customer-21290,2023-10-10 22:30:34,"1× book-042, 1× book-042, 1× book-042, 1× book-023, 1× book-023, 1× book-023, 1× book-032, 1× book-014, 1× book-014, 1× book-014, 1× book-059, 1× book-059, 1× book-059, 1× book-004, 1× book-004, 1× book-004, 1× book-065, 1× book-065, 1× book-065, 1× book-012, 1× book-012, 1× book-012"
customer-3307,2023-10-10 21:58:53,1× book-047
customer-22064,2023-10-10 21:35:04,1× book-095
customer-22065,2023-10-10 20:45:16,1× book-032
customer-1962,2023-10-10 19:58:19,1× book-047
customer-22066,2023-10-10 19:28:48,1× book-074
customer-22068,2023-10-10 18:58:01,1× book-047
customer-22069,2023-10-10 16:58:16,1× book-029
customer-22070,2023-10-10 15:35:35,"1× book-006, 1× book-061, 1× book-059, 1× book-094, 1× book-032, 3× book-012, 1× book-062, 1× book-048"
customer-22072,2023-10-10 14:51:55,1× book-028
customer-22073,2023-10-10 14:31:34,1× book-047
customer-8412,2023-10-10 14:11:53,1× book-029
