Zákazník,Datum,Produkt (produkty)
customer-12322,2023-11-15 09:46:17,1× book-042
customer-21335,2023-11-15 09:17:21,1× book-032
customer-21337,2023-11-15 08:26:05,"1× book-000, 1× book-000, 1× book-000"
customer-977,2023-11-15 08:02:57,1× book-042
customer-21339,2023-11-15 07:52:48,"1× book-051, 1× book-014, 1× book-003, 1× book-047, 1× book-042"
customer-21341,2023-11-15 07:39:38,"1× book-047, 1× book-042"
customer-8699,2023-11-15 05:30:25,"1× book-042, 1× book-042, 1× book-042"
customer-1683,2023-11-15 00:16:50,"1× book-112, 1× book-042, 1× book-042, 1× book-042, 1× book-048, 1× book-048, 1× book-048"
customer-21344,2023-11-14 22:23:36,"1× book-145, 1× book-145, 1× book-145"
customer-13763,2023-11-14 22:06:43,"1× book-048, 1× book-048, 1× book-048"
customer-109,2023-11-14 21:42:21,1× book-047
customer-21347,2023-11-14 21:04:25,"1× book-017, 1× book-017, 1× book-017"
customer-21348,2023-11-14 20:55:38,"1× book-013, 1× book-013, 1× book-013"
customer-21349,2023-11-14 20:42:55,"1× merch-003, 1× book-038"
customer-21350,2023-11-14 19:57:08,"3× book-038, 3× book-048, 1× book-061, 3× book-070, 3× book-152, 3× book-093, 2× book-062, 1× book-053, 1× book-042"
customer-14265,2023-11-14 19:31:30,"1× book-059, 1× book-059, 1× book-059"
customer-21351,2023-11-14 19:22:13,"1× book-042, 1× book-118"
customer-10937,2023-11-14 19:08:55,"1× book-047, 1× book-021"
customer-21352,2023-11-14 18:14:00,"1× book-074, 1× book-086"
customer-11782,2023-11-14 17:16:45,"1× book-038, 1× book-038, 1× book-038"
customer-21355,2023-11-14 16:50:19,"1× book-042, 1× book-042, 1× book-042"
customer-21357,2023-11-14 15:16:06,1× book-139
customer-386,2023-11-14 14:13:17,1× book-042
customer-21359,2023-11-14 14:07:44,"1× book-064, 1× book-006, 1× book-103, 1× book-042"
customer-21361,2023-11-14 13:00:52,1× book-021
customer-19879,2023-11-14 12:47:11,"1× book-065, 1× book-065, 1× book-065"
customer-4300,2023-11-14 12:22:12,1× book-042
customer-21362,2023-11-14 11:47:51,1× book-042
customer-19879,2023-11-14 10:26:47,1× book-132
customer-21365,2023-11-14 09:40:56,"1× book-042, 1× book-021"
customer-4661,2023-11-14 09:19:28,"1× book-047, 1× book-042"
customer-13659,2023-11-14 08:17:33,"1× book-042, 1× book-042, 1× book-042"
customer-21368,2023-11-13 23:09:23,1× book-021
customer-21370,2023-11-13 22:16:53,"1× book-042, 1× book-042, 1× book-042"
customer-21372,2023-11-13 22:03:55,1× book-042
customer-21373,2023-11-13 21:33:53,1× book-104
customer-21374,2023-11-13 21:20:06,1× book-021
customer-21375,2023-11-13 20:54:03,1× book-042
customer-21376,2023-11-13 19:24:33,1× book-042
customer-1239,2023-11-13 18:05:28,"1× book-042, 1× book-042, 1× book-042, 1× book-047, 1× book-047, 1× book-047, 1× book-032, 1× book-032, 1× book-032, 1× book-118, 1× book-118, 1× book-118, 1× book-118"
customer-15894,2023-11-13 17:17:34,"1× book-020, 1× book-020, 1× book-020"
customer-11108,2023-11-13 16:37:46,"1× book-051, 1× book-105"
customer-21380,2023-11-13 15:08:12,1× book-122
customer-21382,2023-11-13 14:27:41,1× book-072
