Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2006:Q2,pct80to99,26346277,31677227,10195887,1450931,4717595,4489309,2861790,3516393,4445322,5330951,4347373,727321,256257
2006:Q2,pct60to80,10343956,13510955,4865122,964460,1219431,2640328,1099810,799745,1922059,3167000,2446545,679639,40816
2006:Q2,pct40to60,5822116,7629928,2953581,666535,541980,1519887,425536,434418,1087992,1807812,1322741,460134,24937
2006:Q2,pct20to40,3443206,4297771,1807822,400727,252032,696982,115384,221335,803488,854565,548780,295410,10375
2006:Q2,pct00to20,2059987,2476373,1180736,219546,176527,168000,11749,339678,380137,416386,252208,153953,10225
2006:Q3,pct99to100,14155813,14932669,2752886,499607,4993576,384911,556838,2844563,2900288,776856,597114,34233,145509
2006:Q3,pct80to99,26874073,32352375,10365725,1474739,4857657,4596649,2933318,3637386,4486901,5478302,4466635,748626,263041
2006:Q3,pct60to80,10328535,13602359,4913409,977021,1262948,2605520,1127545,805136,1910780,3273824,2526394,702383,45047
2006:Q3,pct40to60,5856823,7695149,2953459,678349,538993,1538237,444526,440791,1100794,1838326,1347181,467359,23786
2006:Q3,pct20to40,3499069,4362312,1836285,407387,264010,712064,120904,210862,810800,863243,552065,299741,11437
2006:Q3,pct00to20,2105762,2533608,1207959,221176,182321,173638,10920,355820,381775,427846,259036,159099,9711
2006:Q4,pct99to100,14653437,15438674,2726698,499573,5422209,405356,588450,2881636,2914752,785237,596240,35500,153497
2006:Q4,pct80to99,27616545,33229516,10479760,1489308,5240224,4710172,3047679,3727555,4534819,5612971,4549768,764162,299041
2006:Q4,pct60to80,10345069,13696837,4919598,985927,1349338,2573038,1173459,805043,1890433,3351768,2578842,721364,51562
2006:Q4,pct40to60,5880620,7735931,2920910,683889,549309,1557535,470756,440370,1113163,1855312,1358569,472053,24690
2006:Q4,pct20to40,3543610,4412752,1840668,415145,282215,727241,128121,200119,819242,869142,551920,303826,13396
2006:Q4,pct00to20,2147856,2580750,1223533,224417,193170,179518,9923,371156,379032,432894,264005,159811,9078
2007:Q1,pct99to100,15056699,15848856,2661829,508221,5716803,425162,605667,2872182,3058993,792157,601549,33966,156642
2007:Q1,pct80to99,28114392,33812878,10465919,1499974,5485295,4815619,3085811,3767441,4692819,5698487,4649991,759479,289017
2007:Q1,pct60to80,10288318,13695881,4858146,994468,1411272,2535653,1187166,795962,1913214,3407563,2638032,716734,52797
2007:Q1,pct40to60,5859063,7727817,2857200,685365,550437,1575091,483974,428891,1146859,1868754,1379722,467327,21705
2007:Q1,pct20to40,3562477,4428429,1807607,425726,296962,742095,132324,188897,834818,865952,554886,297869,13197
2007:Q1,pct00to20,2164530,2610427,1214598,230880,201065,185114,9127,385157,384486,445897,273074,164797,8026
2007:Q2,pct99to100,15340538,16139879,2621616,510632,5911822,435700,638167,2905800,3116141,799341,604002,34869,160470
2007:Q2,pct80to99,28466651,34326010,10480226,1515448,5627645,4931408,3208516,3853083,4709683,5859359,4752037,772560,334762
2007:Q2,pct60to80,10256824,13749834,4825822,1004395,1455316,2533797,1237308,795153,1898043,3493010,2702881,733926,56203
2007:Q2,pct40to60,5838294,7729000,2820793,690620,544852,1587245,512311,427789,1145389,1890706,1399171,470352,21183
2007:Q2,pct20to40,3565226,4435601,1790292,434909,309262,750855,139986,178146,832151,870375,556815,300915,12645
2007:Q2,pct00to20,2191446,2641068,1217018,235615,206826,184620,8127,400169,388693,449622,280289,164343,4990
2007:Q3,pct99to100,15645947,16453439,2557350,507991,5974112,445584,657662,2912979,3397761,807491,602753,37007,167731
2007:Q3,pct80to99,28866104,34798162,10399748,1530256,5633335,5039646,3260496,3909719,5024962,5932058,4847256,798664,286138
2007:Q3,pct60to80,10232681,13821171,4791919,1012869,1475933,2528530,1257332,789192,1965395,3588490,2766811,761332,60347
2007:Q3,pct40to60,5884373,7798837,2827646,696765,530944,1597958,528303,420446,1196776,1914464,1413768,480905,19791
2007:Q3,pct20to40,3588270,4470574,1780713,441970,318406,759260,144802,167128,858295,882303,556872,308333,17098
2007:Q3,pct00to20,2211088,2674688,1217452,238091,209837,183887,7303,414323,403795,463599,285212,169310,9077
2007:Q4,pct99to100,15264459,16079670,2546895,510014,5586255,444864,647665,2835074,3508903,815211,610915,39795,164501
2007:Q4,pct80to99,28849239,34854889,10340719,1546297,5401786,5127539,3259382,3837800,5341366,6005650,4887106,820317,298227
2007:Q4,pct60to80,10022825,13628883,4662202,1017274,1394915,2555745,1211530,776905,2010313,3606058,2773339,768995,63724
2007:Q4,pct40to60,5768563,7717783,2724875,704731,519921,1603947,514466,420693,1229149,1949220,1436962,490023,22235
2007:Q4,pct20to40,3556021,4458421,1769029,448270,308198,752066,139064,174002,867792,902400,571140,313374,17886
2007:Q4,pct00to20,2217059,2703888,1200292,248203,217437,182629,11263,424855,419209,486829,297671,176973,12185
2008:Q1,pct99to100,14552326,15372154,2487675,503734,5055923,443349,614719,2621361,3645393,819828,618633,39633,161562
2008:Q1,pct80to99,28154230,34240851,10018453,1569212,5021449,5205886,3130473,3617030,5678348,6086621,4912986,821734,351901
2008:Q1,pct60to80,9685985,13274718,4476014,1023803,1288195,2578059,1112952,737639,2058056,3588733,2768369,752568,67796
2008:Q1,pct40to60,5642783,7614576,2659072,718027,500061,1608011,478475,388454,1262475,1971792,1455863,489981,25948
2008:Q1,pct20to40,3522834,4433171,1748153,452646,294135,744477,128197,178779,886784,910337,584401,308115,17821
2008:Q1,pct00to20,2193020,2706540,1168809,255957,221488,181031,15346,430356,433553,513520,309871,189978,13671
2008:Q2,pct99to100,14098528,14930312,2439263,489478,4775398,442994,612252,2555129,3615799,831784,630879,43691,157214
2008:Q2,pct80to99,27843938,33854234,9711184,1588556,4891315,5296693,3153213,3554720,5658553,6010296,4898100,829800,282396
2008:Q2,pct60to80,9493904,13031428,4328059,1026620,1225279,2606972,1078768,726849,2038880,3537524,2721716,747796,68012
2008:Q2,pct40to60,5610130,7595521,2630786,731597,493988,1614435,468302,390708,1265705,1985391,1466672,494823,23896
2008:Q2,pct20to40,3478157,4405492,1739634,452975,286056,737212,123306,184933,881376,927335,596885,312727,17723
2008:Q2,pct00to20,2193265,2727299,1150617,259517,230258,179914,18901,439584,448508,534034,325031,191616,17387
2008:Q3,pct99to100,13249376,14074599,2384906,485995,4054236,441692,572880,2433899,3700992,825223,625393,43852,155978
2008:Q3,pct80to99,26895490,33023631,9442899,1601365,4305582,5376313,2997739,3430975,5868758,6128141,4887278,841756,399107
2008:Q3,pct60to80,9157155,12676856,4181235,1028020,1082816,2630112,974011,704821,2075841,3519701,2702418,741811,75472
2008:Q3,pct40to60,5531930,7528013,2587621,739378,460863,1618688,429884,379591,1311989,1996084,1464774,499312,31998
2008:Q3,pct20to40,3434850,4368082,1716496,456314,266078,729578,111680,189898,898037,933232,603130,310265,19837
2008:Q3,pct00to20,2181162,2738174,1128256,266661,228382,178394,22748,446103,467631,557012,328850,206816,21346
2008:Q4,pct99to100,12001635,12825634,2323595,483668,3003664,438771,507222,2250095,3818619,823998,620633,44193,159172
2008:Q4,pct80to99,25828661,31696734,9216113,1596737,3370348,5437397,2688955,3236345,6150839,5868073,4855966,845976,166131
2008:Q4,pct60to80,8696629,12169581,4037328,1019721,877039,2643597,811568,669714,2110614,3472952,2664199,730624,78129
2008:Q4,pct40to60,5421299,7406500,2521384,738568,404332,1619348,366411,353487,1402970,1985201,1457623,499811,27767
2008:Q4,pct20to40,3382917,4325658,1691636,456398,235261,721350,94271,193291,933451,942741,608451,306936,27354
2008:Q4,pct00to20,2140259,2728287,1105569,271154,216184,176189,26064,449040,484086,588028,333193,216248,38587
2009:Q1,pct99to100,11280896,12094161,2261681,476922,2563977,434267,488832,2076049,3792434,813265,618143,40104,155018
2009:Q1,pct80to99,25209815,31025310,8972633,1594285,3051384,5480587,2638089,3049840,6238492,5815495,4858458,829377,127660
2009:Q1,pct60to80,8420428,11849085,3902234,1011675,781230,2647721,755644,635842,2114738,3428658,2652676,696224,79758
2009:Q1,pct40to60,5340180,7318523,2471352,739906,383462,1616539,347294,329334,1430636,1978343,1461877,489446,27020
2009:Q1,pct20to40,3350390,4284364,1671643,455144,220375,712554,86976,196087,941586,933975,616554,290984,26437
2009:Q1,pct00to20,2119509,2730545,1087770,274125,216837,173313,29186,450846,498468,611036,338881,232006,40149
2009:Q2,pct99to100,11391657,12204467,2214746,464620,3162903,432645,532853,1862815,3533885,812811,621893,40375,150543
2009:Q2,pct80to99,25771759,31576898,8742159,1600330,3813328,5555602,2912731,2816215,6136533,5805139,4838198,823597,143344
2009:Q2,pct60to80,8431332,11804703,3794659,1007262,881585,2668554,823989,593004,2035650,3373371,2613414,676333,83624
2009:Q2,pct40to60,5357890,7337803,2457220,746684,432183,1620019,379745,295806,1406146,1979913,1464365,485434,30114
2009:Q2,pct20to40,3332694,4271409,1657376,453427,237583,704874,91608,197169,929372,938715,625320,285627,27768
2009:Q2,pct00to20,2105956,2737134,1078625,276192,246444,171647,32762,448881,482582,631178,348384,237508,45286
2009:Q3,pct99to100,11975075,12780179,2189423,449106,3777445,431315,580302,1794916,3557672,805104,617524,40663,146917
2009:Q3,pct80to99,26692303,32499279,8578338,1603158,4593250,5633660,3207794,2744305,6138773,5806975,4812872,830225,163878
2009:Q3,pct60to80,8553478,11887847,3698745,1000283,982755,2690984,899751,579801,2035528,3334369,2579935,666670,87764
2009:Q3,pct40to60,5440021,7420661,2440773,752751,480956,1624204,415345,295260,1411373,1980640,1459106,488085,33449
2009:Q3,pct20to40,3331254,4274480,1653607,449709,254404,697405,96762,200762,921832,943226,631095,282741,29390
