Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2004:Q4,Millennial,124881,237640,101907,56144,6251,0,5755,33650,33933,112759,60191,51815,753
2005:Q1,Silent,25756633,27431304,7420292,1343745,4743007,4361446,1048213,2796388,5718213,1674670,1122258,354988,197424
2005:Q1,BabyBoom,25509951,31182797,10045060,1781687,4354332,4653672,2966986,3356394,4024667,5672846,4471962,986731,214153
2005:Q1,GenX,4040264,7293388,3547818,766946,588378,256931,426868,763055,943392,3253124,2432311,804903,15910
2005:Q1,Millennial,168405,269385,120867,62762,4351,266,4419,38771,37949,100980,42029,58352,599
2005:Q2,Silent,26094962,27805876,7606996,1330999,4862957,4307950,1054922,2894632,5747420,1710914,1149884,354181,206849
2005:Q2,BabyBoom,26346808,32129503,10310575,1805256,4494585,4798916,3068443,3497433,4154296,5782695,4574310,996646,211739
2005:Q2,GenX,4298325,7711399,3772010,809456,610140,288855,453222,812513,965204,3413074,2579534,815604,17936
2005:Q2,Millennial,200698,316152,144715,72650,4498,582,4778,48148,40780,115453,49031,65958,464
2005:Q3,Silent,26340349,28086124,7752515,1328884,5072667,4251884,1067675,3008335,5604164,1745775,1177089,355657,213029
2005:Q3,BabyBoom,27288229,33189044,10659269,1818284,4743437,4940310,3184298,3659307,4184139,5900815,4676706,1014042,210067
2005:Q3,GenX,4663036,8245916,4036312,833332,681345,321035,497797,869664,1006431,3582880,2730762,833534,18584
2005:Q3,Millennial,230424,363331,163937,77416,7290,1032,5942,59738,47976,132906,57325,75152,429
2005:Q4,Silent,26548296,28324237,7862815,1328831,5135916,4194080,1076150,3057758,5668687,1775941,1200410,356516,219015
2005:Q4,BabyBoom,28154178,34133391,10980067,1834659,4827848,5084773,3294772,3753668,4357603,5979213,4761190,1030081,187942
2005:Q4,GenX,4899516,8643542,4265481,860057,675893,353742,533762,900084,1054522,3744026,2873720,849462,20844
2005:Q4,Millennial,247115,399275,183300,82723,5956,1489,6793,67195,51818,152160,67547,84497,116
2006:Q1,Silent,26971895,28785516,7840369,1311351,5658252,4135535,1082825,3068534,5688649,1813621,1228666,354072,230883
2006:Q1,BabyBoom,29174087,35257586,10955561,1854870,5458727,5240224,3402642,3807116,4538447,6083499,4840922,1036274,206303
2006:Q1,GenX,5252053,9178314,4382505,900648,928711,387288,566380,914235,1098547,3926261,3048576,854764,22921
2006:Q1,Millennial,271997,453432,196199,93942,20174,1764,7531,71858,61964,181435,88774,92475,186
2006:Q2,Silent,26783555,28628238,7856867,1310281,5537727,4074174,1076458,3133031,5639700,1844684,1254353,349739,240592
2006:Q2,BabyBoom,29491651,35695214,11113820,1871204,5336435,5382459,3430408,3922888,4638001,6203564,4950138,1037901,215525
2006:Q2,GenX,5272828,9366289,4576389,927884,826196,420613,536020,952716,1126471,4093461,3208219,859869,25373
2006:Q2,Millennial,274524,476362,207419,99860,13036,2361,5390,81819,66476,201837,99379,102103,355
2006:Q3,Silent,26832324,28701271,7835139,1311743,5680762,4013051,1082383,3186866,5591327,1868947,1271316,349194,248437
2006:Q3,BabyBoom,30203730,36520232,11240106,1887553,5530323,5540411,3537445,4028804,4755589,6316502,5040102,1054350,222050
2006:Q3,GenX,5499090,9749159,4739443,953911,873267,454936,568194,987325,1172083,4250069,3333170,889390,27509
2006:Q3,Millennial,284931,507810,215034,105072,15153,2621,6028,91562,72340,222879,103836,118508,535
2006:Q4,Silent,26971857,28861399,7788022,1299519,6012206,3951925,1094471,3212651,5502604,1889542,1279346,348458,261738
2006:Q4,BabyBoom,31056373,37458042,11260838,1901098,5960565,5708329,3682669,4104098,4840445,6401669,5077460,1068197,256012
