Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2007:Q3,age55to69,27663900,31001155,7444920,1387988,6067440,5188624,2658630,3480404,4773149,3337255,2523802,549445,264008
2007:Q3,age40to54,21345111,26756300,8310562,1483167,4147364,3570770,2611473,2880366,3752597,5411189,4392568,912273,106348
2007:Q3,ageunder40,4175728,8407199,3955807,1008820,765265,336024,440629,837796,1062858,4231471,3217475,989799,24197
2007:Q4,age70plus,13220899,13848507,3842916,570212,2973280,1480993,151574,1412549,3416983,627608,354975,108675,163958
2007:Q4,age55to69,27630341,31031234,7447641,1400113,5781291,5299234,2637807,3443716,5021432,3400893,2565811,562299,272783
2007:Q4,age40to54,20851111,26359392,8133239,1491360,3971664,3546507,2562313,2810031,3844278,5508281,4455500,936959,115822
2007:Q4,ageunder40,3975814,8204401,3820215,1013105,702275,340057,431674,803032,1094042,4228586,3200848,1001544,26194
2008:Q1,age70plus,12906509,13563220,3731707,589497,2686422,1500443,145109,1320116,3589926,656711,374118,108056,174537
2008:Q1,age55to69,27085905,30542586,7293648,1417970,5356209,5400221,2515244,3262469,5296826,3456682,2596310,554686,305686
2008:Q1,age40to54,20123332,25703058,7913508,1507301,3722486,3517047,2415779,2676042,3950895,5579725,4509955,941908,127862
2008:Q1,ageunder40,3635432,7833145,3619314,1008610,616134,343101,404029,714990,1126966,4197713,3169740,997358,30615
2008:Q2,age70plus,12684882,13364420,3626602,600262,2575135,1524884,154631,1324328,3558579,679539,415582,113578,150379
2008:Q2,age55to69,26963169,30369240,7148340,1433761,5158449,5512225,2511451,3231581,5373432,3406071,2582927,557608,265536
2008:Q2,age40to54,19647628,25285809,7773536,1523166,3595509,3493714,2388336,2609795,3901754,5638181,4556393,955483,126305
2008:Q2,ageunder40,3422243,7524816,3451066,991553,573202,347396,400325,686218,1075056,4102574,3084381,993784,24409
2008:Q3,age70plus,12266077,12972539,3561004,617351,2159257,1546467,145175,1291636,3651649,706462,413784,114105,178573
2008:Q3,age55to69,26254181,29755192,7031752,1443281,4539713,5613751,2371102,3140289,5615305,3501011,2604808,557565,338638
2008:Q3,age40to54,18861180,24534307,7570363,1530321,3240305,3464019,2223700,2516749,3988850,5673127,4552198,971040,149889
2008:Q3,ageunder40,3068525,7147318,3278293,986781,458683,350541,368964,636613,1067443,4078793,3041052,1001102,36639
2008:Q4,age70plus,11577436,12221208,3504871,626547,1525533,1562640,121266,1216916,3663436,643772,419584,114800,109388
2008:Q4,age55to69,25400184,28773662,6942381,1439189,3590897,5698190,2107922,2979249,6015833,3373478,2607562,555473,210443
2008:Q4,age40to54,17822786,23490057,7344444,1524058,2694036,3424006,1948145,2391589,4163778,5667271,4538813,976497,151961
2008:Q4,ageunder40,2670994,6667467,3103929,976453,296362,351815,317158,564219,1057531,3996472,2974107,997019,25346
2009:Q1,age70plus,11281421,11905282,3443956,633304,1308042,1573445,122662,1147407,3676466,623861,421454,108420,93987
2009:Q1,age55to69,24937244,28295449,6839037,1437187,3214726,5766342,2052587,2824707,6160863,3358205,2636303,533583,188319
2009:Q1,age40to54,17144837,22804628,7142080,1520479,2460270,3373889,1867810,2268685,4171415,5659791,4548359,958654,152778
