Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1996:Q2,White,30922252,9920392,7663561,2256830,21001861,2606344,557339,1589153,1042638,546515,497466,398370,99096,4898962,479682,529572,1385018,4770067,3412643,275615,4162666,4147896,2915125,982343,18821,231608,14769,26759587,77540060
1996:Q2,Black,1451071,563393,429205,134188,887677,83053,8842,12396,9002,3394,4043,2756,1287,64331,50873,42877,73041,470786,57161,20273,320473,318905,210622,102611,2501,3172,1567,1130598,12477735
1996:Q2,Hispanic,738741,325895,246091,79804,412846,58586,7851,7778,4693,3085,234,0,234,31353,32131,14620,54455,145589,47613,12635,198680,197683,136646,57609,1072,2356,996,540062,5845739
1996:Q2,Other,1336489,469944,361951,107994,866545,127511,16503,50422,27183,23239,12864,9214,3649,143418,30857,30854,60485,228874,151093,13665,233603,232634,169815,54015,1156,7648,969,1102886,4005282
1996:Q3,White,31264359,10029410,7747348,2282062,21234949,2619751,578001,1596283,1072593,523690,495499,398654,96845,4908475,493902,536479,1432381,4856140,3439551,278489,4243626,4228649,2963833,1012219,20976,231619,14978,27020733,77729042
1996:Q3,Black,1455537,565320,432004,133316,890216,85617,8638,13630,9253,4377,3115,1818,1297,68937,53098,41104,75506,462111,57944,20517,323404,321791,213619,102981,2520,2670,1613,1132133,12390380
1996:Q3,Hispanic,771994,338147,256283,81865,433846,64361,8741,7494,4686,2808,214,0,214,34886,31763,16318,54328,151942,50992,12808,202543,201567,138109,59564,1333,2561,976,569451,5982716
1996:Q3,Other,1338080,480391,372458,107933,857690,124716,16343,49444,26214,23230,12776,8944,3832,140208,29812,29656,65519,217577,157917,13720,240427,239497,173800,55083,1252,9362,930,1097653,4059916
1996:Q4,White,31966383,10117801,7819175,2298626,21848582,2614224,607223,1624789,1104929,519860,529683,435090,94593,5139222,508996,510578,1603063,4926394,3503722,280688,4323795,4308614,3003773,1049988,16579,238274,15181,27642588,77898247
1996:Q4,Black,1470963,565980,429057,136923,904983,87855,8386,14398,9515,4883,4712,3405,1307,74749,55339,35513,91647,451589,60130,20664,327751,326094,216899,105015,1700,2480,1657,1143212,12298338
1996:Q4,Hispanic,807053,347919,264559,83361,459134,70107,9727,7238,4684,2554,193,0,193,39536,31482,17207,56440,158692,55512,12999,207526,206570,140273,62149,1170,2977,957,599527,6140899
1996:Q4,Other,1343320,485334,376314,109020,857986,121854,16228,47021,25240,21781,13166,9140,4026,143494,28809,27091,75157,205345,166050,13770,247394,246504,177686,56726,914,11179,890,1095925,4120355
1997:Q1,White,32189647,10204655,7881951,2322704,21984992,2618157,647206,1480078,1040058,440021,519334,427215,92119,5187592,520264,521358,1612521,5013566,3581499,283417,4354774,4339491,3034259,1038706,23156,243370,15284,27834873,78051035
1997:Q1,Black,1468642,563914,425065,138849,904728,90055,8074,16094,9198,6896,3071,1758,1313,79239,57253,34348,89832,443104,62777,20880,319764,318077,217206,96434,2215,2222,1687,1148878,12205952
1997:Q1,Hispanic,841366,357444,271784,85660,483923,76314,10806,6803,4589,2214,171,0,171,43663,31142,19202,55582,166366,60637,13236,210451,209516,140950,63404,1788,3375,936,630915,6314569
1997:Q1,Other,1347789,494619,384788,109832,853169,119245,16154,47483,21560,25923,12915,8669,4246,141799,27655,26082,79482,193684,174821,13847,251854,251008,181034,55631,1293,13049,846,1095935,4184011
1997:Q2,White,33507131,10323151,7987460,2335691,23183980,2628820,638538,1494094,1032646,461447,533157,443077,90080,5977194,536704,555613,1782578,5114082,3636925,286274,4430900,4415507,3076353,1060553,26252,252350,15393,29076231,78190765
1997:Q2,Black,1494685,563601,429280,134321,931083,92237,7938,16016,9215,6801,3154,1823,1331,88453,59553,35892,105816,436356,64551,21118,321124,319406,219752,95240,2270,2145,1718,1173561,12117568
1997:Q2,Hispanic,887513,370348,282432,87917,517165,82900,11925,6546,4559,1986,148,0,148,51347,30910,22023,57589,174779,65506,13493,216014,215100,143189,65791,2206,3914,913,671499,6498004
1997:Q2,Other,1375877,505034,395997,109036,870843,116773,15643,42197,19542,22655,12886,8449,4437,161513,26652,26044,89689,182308,183210,13930,258987,258186,185293,56455,1444,14994,801,1116891,4248294
1997:Q3,White,34499601,10440491,8081626,2358865,24059110,2647661,665846,1510267,1019381,490887,534944,446800,88145,6441361,552874,580813,1922022,5209436,3703018,290867,4528560,4513050,3145064,1085161,15365,267460,15510,29971041,78320797
1997:Q3,Black,1512604,562660,430891,131769,949944,94465,7656,15766,9194,6572,2239,887,1352,95513,61842,36402,118377,429374,66718,21592,325167,323417,225354,94692,1029,2342,1750,1187437,12037529
1997:Q3,Hispanic,934545,384882,294130,90752,549664,89851,13150,6283,4521,1762,123,0,123,57927,30633,24707,58932,183410,70830,13817,223039,222150,147574,68498,1407,4671,889,711506,6685485
1997:Q3,Other,1392248,515280,406672,108609,876968,114397,15355,36208,17401,18807,12613,7990,4623,172076,25586,25579,99046,170094,191948,14066,267250,266496,191289,57453,739,17015,754,1124999,4310616
1997:Q4,White,35070766,10563703,8185856,2377847,24507064,2682193,695367,1543792,1074660,469132,552282,466459,85823,6571668,561016,579523,1925232,5289292,3815794,290903,4608980,4593345,3180651,1118453,25058,269182,15635,30461786,78444489
1997:Q4,Black,1516918,566001,428520,137481,950917,96872,7356,16915,9628,7287,2571,1203,1367,100438,63570,33988,116005,421129,70582,21491,325667,323882,223979,96337,1618,1948,1785,1191251,11970180
1997:Q4,Hispanic,974371,395958,303390,92567,578414,97280,14439,6021,4547,1473,95,0,95,63173,30085,26626,57424,191866,77443,13962,225981,225118,147032,70592,2457,5037,863,748391,6871291
1997:Q4,Other,1394449,522589,412522,110066,871860,112187,15011,35333,16677,18656,12474,7631,4843,172844,24147,23949,103689,156331,201876,14019,274441,273736,194697,58782,1258,18998,705,1120008,4368388
1998:Q1,White,36615677,10728289,8329188,2399101,25887388,2667841,754502,1548767,1029881,518886,574803,491453,83349,7491600,573068,611044,2109721,5413766,3849440,292836,4656115,4640454,3230111,1106342,27522,276479,15660,31959563,78565202
1998:Q1,Black,1549353,567174,430813,136361,982178,98807,6914,16153,9415,6738,3394,2012,1382,110504,65666,35274,133674,418480,71648,21664,318801,316991,224899,88716,1571,1804,1810,1230551,11919865
1998:Q1,Hispanic,1024089,410301,315255,95046,613788,103635,15767,5720,4468,1252,66,0,66,72435,29531,29690,59274,201306,82211,14153,228501,227671,147637,71561,2882,5591,830,795588,7049702
1998:Q1,Other,1423205,533967,424414,109553,889238,108991,14808,27177,13860,13317,12298,7223,5075,196727,22772,23627,114819,144498,209507,14015,279246,278598,198797,57423,1353,21024,649,1143959,4419021
1998:Q2,White,37355563,10956899,8533361,2423537,26398665,2656197,767926,1673736,1081916,591820,586872,506070,80801,7643430,584566,632414,2121356,5513343,3925702,293124,4763080,4747106,3293096,1143148,25348,285514,15973,32592484,78686294
1998:Q2,Black,1565223,575255,437774,137480,989968,100853,6680,15658,9864,5794,3303,1905,1398,115807,67826,35487,132570,415799,74323,21661,327239,325365,231352,91085,1188,1739,1874,1237984,11890929
1998:Q2,Hispanic,1069353,424754,327368,97385,644599,109920,17137,5492,4456,1036,34,0,34,78058,28841,32459,57313,213082,88020,14244,235984,235183,151535,74612,2823,6213,801,833369,7214998
1998:Q2,Other,1440630,548846,439541,109305,891784,105623,14178,18851,12782,6070,11873,6564,5309,197598,21285,22805,119712,148024,217921,13914,287441,286839,203719,58898,1170,23051,602,1153189,4459928
1998:Q3,White,36845624,11183741,8725101,2458640,25661883,2651473,837131,1753970,1181044,572926,621204,542801,78404,6775300,588140,622019,1956925,5591194,3968623,295905,4854247,4838627,3356487,1171879,28056,282204,15620,31991377,78811125
1998:Q3,Black,1543428,573534,443057,130477,969894,103117,6177,17153,10640,6513,5375,3952,1422,114453,69545,32329,112155,411618,75948,22022,333417,331558,237246,92034,1143,1136,1858,1210011,11887716
1998:Q3,Hispanic,1113822,451604,350542,101062,662218,116131,18476,5124,4397,727,0,0,0,78135,27795,34067,51168,224051,92882,14388,241919,241172,154371,77084,3294,6423,747,871903,7361459
1998:Q3,Other,1417225,557107,450556,106551,860118,102124,13878,18025,12207,5818,11572,6049,5523,167623,19393,20599,118283,149850,224907,13865,294555,294030,208052,59721,1266,24992,525,1122670,4488517
1998:Q4,White,38837510,11408656,8925806,2482850,27428854,2757357,894264,1665917,1169575,496342,618366,538285,80080,8005126,615236,655795,2235045,5688475,3996437,296837,4963948,4949244,3431840,1198589,32622,286194,14704,33873562,78942165
1998:Q4,Black,1606368,590740,449055,141685,1015628,104174,6475,18074,10561,7512,3402,2096,1306,116999,70632,37031,139933,425056,72423,21430,349814,348104,245026,99968,1499,1610,1711,1256554,11913398
1998:Q4,Hispanic,1142632,463529,361568,101961,679103,115458,17454,5294,4379,914,2,0,2,84123,28392,35450,59784,228158,90554,14436,253062,252348,162714,80118,3567,5948,713,889571,7484960
1998:Q4,Other,1489302,563647,456380,107267,925655,104936,15401,21556,12103,9452,10945,5410,5535,205327,20467,22576,125341,159544,225573,13991,296861,296373,209009,62597,1638,23128,488,1192441,4503098
1999:Q1,White,39210972,11612197,9103015,2509182,27598775,2743167,950876,1637850,1092856,544995,617098,535124,81974,8038161,626843,663188,2300790,5763754,3959523,297525,5030293,5014491,3496373,1194747,30709,292662,15802,34180679,79078319
