Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2003:Q1,White,39417825,46382931,14313452,3037281,5798968,6953060,2858565,5022360,8399245,6965107,5096373,1538887,329847
2003:Q1,Black,1814925,2479064,833049,221703,84645,737426,210221,101870,290150,664139,427206,230912,6021
2003:Q1,Hispanic,1001644,1463248,604928,166905,69474,262984,101556,91571,165830,461605,339388,121862,355
2003:Q1,Other,1402823,1829135,739843,123694,138041,253548,122993,218421,232595,426311,324274,97461,4576
2003:Q2,White,41042672,48297901,14616569,3059897,6855361,7021418,3118189,5147918,8478548,7255229,5282965,1560377,411887
2003:Q2,Black,1902128,2594063,864662,221148,98809,755024,244491,112247,297683,691936,447221,235059,9656
2003:Q2,Hispanic,1038818,1531785,636681,174847,79596,265655,106608,97448,170950,492967,363885,125981,3101
2003:Q2,Other,1473243,1934039,778027,130166,170121,257321,135396,219549,243459,460796,354308,100513,5975
2003:Q3,White,41775066,49210091,14915976,3094171,7247618,7079330,3188171,5249706,8435119,7435025,5465591,1586180,383254
2003:Q3,Black,1966935,2673979,898376,216110,106929,770269,257414,121647,303233,707044,457732,241445,7867
2003:Q3,Hispanic,1082339,1593777,674788,184222,84432,267638,106012,102590,174095,511438,381484,127997,1957
2003:Q3,Other,1523838,2020199,822739,136339,183158,261026,140185,220212,256540,496362,386126,104053,6183
2003:Q4,White,43380683,50982840,15227065,3127007,8130498,7149184,3432009,5319394,8597683,7602157,5601166,1615197,385794
2003:Q4,Black,2050668,2777154,930365,213607,119378,785815,290162,129670,308157,726486,473523,246600,6363
2003:Q4,Hispanic,1125679,1662811,711024,193035,92819,269525,110324,106624,179459,537132,403175,132583,1374
2003:Q4,Other,1603946,2138110,874250,143952,213902,266137,153709,219889,266270,534164,417749,108551,7864
2004:Q1,White,45496097,53218865,15755969,3167046,8557184,7285673,3497898,5474189,9480907,7722769,5720571,1608900,393298
2004:Q1,Black,2154983,2884145,969617,215278,127752,808518,302103,140782,320095,729163,480144,242915,6104
2004:Q1,Hispanic,1189554,1743004,758675,201730,97613,273039,109234,113318,189394,553450,417660,134043,1747
2004:Q1,Other,1713672,2283163,949731,153712,230899,276847,159671,223248,289055,569491,450314,110613,8564
2004:Q2,White,46086916,54033068,16203805,3213499,8503327,7426739,3539799,5784296,9361603,7946152,5917092,1620753,408307
2004:Q2,Black,2210239,2953499,1008644,208180,131922,813565,310345,157613,323230,743260,493511,243461,6288
2004:Q2,Hispanic,1244371,1820906,810210,211535,98688,276187,106990,125012,192284,576535,438117,135959,2459
2004:Q2,Other,1792892,2409299,1022939,161899,231159,293280,164909,233742,301371,616408,492553,114365,9490
2004:Q3,White,47034460,55158389,16761296,3230314,8443090,7572660,3555722,6095792,9499516,8123929,6079765,1656038,388126
2004:Q3,Black,2254692,3015044,1041053,207648,135885,817209,315106,174052,324091,760352,506273,249009,5070
2004:Q3,Hispanic,1303574,1902484,871358,217325,99452,278673,103789,136530,195357,598911,457772,139305,1834
2004:Q3,Other,1877471,2543356,1099370,172573,230823,311453,169212,245173,314752,665885,535682,120523,9680
2004:Q4,White,48862288,57218898,17262319,3279706,9155774,7715707,3808419,6187671,9809302,8356611,6242714,1692452,421445
2004:Q4,Black,2330510,3127579,1094429,213277,137442,827462,338719,174097,342153,797069,537772,252806,6491
2004:Q4,Hispanic,1362396,1997168,915391,222014,108403,281516,115234,152222,202389,634773,486354,144304,4115
2004:Q4,Other,2078448,2793204,1195393,183221,263965,338033,187023,276508,349061,714756,573738,130557,10461
2005:Q1,White,49497078,57933840,17735903,3314995,9175258,7801008,3804701,6300532,9801443,8436762,6352795,1676474,407493
2005:Q1,Black,2343298,3169767,1136397,220494,132758,828417,331690,174593,345418,826469,580721,240008,5740
2005:Q1,Hispanic,1406988,2086539,974609,224580,112167,281573,118783,168174,206652,679551,524100,151188,4263
2005:Q1,Other,2227889,2986728,1287127,195070,269884,361316,191311,311308,370711,758839,610945,137304,10590
2005:Q2,White,50687024,59323103,18239350,3349227,9438547,7898311,3915914,6531169,9950584,8636079,6528151,1692848,415080
2005:Q2,Black,2379209,3236554,1176641,233460,129621,829508,337440,179245,350639,857345,614511,237386,5448
2005:Q2,Hispanic,1470403,2185707,1037554,225837,117544,281399,125565,187589,210219,715304,554706,155410,5188
2005:Q2,Other,2404158,3217566,1380750,209836,286467,387085,202446,354723,396259,813409,655391,146746,11272
2005:Q3,White,51963706,60812748,18796229,3376242,9937666,7990968,4060629,6800989,9850025,8849042,6707192,1722668,419182
2005:Q3,Black,2412469,3303094,1225460,233738,127827,829029,346112,185070,355859,890625,647576,237931,5118
2005:Q3,Hispanic,1539746,2290391,1103958,227519,124465,280590,133001,207818,213040,750645,584764,159850,6031
2005:Q3,Other,2606118,3478181,1486387,220416,314781,413674,215968,403166,423789,872064,702350,157936,11778
2005:Q4,White,53021822,62045402,19270575,3409912,10067751,8084916,4189773,6924534,10097941,9023579,6867688,1749889,406002
2005:Q4,Black,2437419,3354981,1267244,235125,123107,828179,352846,185293,363187,917563,675827,237998,3738
2005:Q4,Hispanic,1598539,2378672,1160205,229416,128716,279516,139917,222749,218154,780133,610654,163437,6042
2005:Q4,Other,2791325,3721389,1593641,231817,326038,441473,228942,446129,453350,930064,748699,169231,12134
2006:Q1,White,54624886,63883677,19272051,3437404,11398570,8186936,4312366,6959276,10317074,9258791,7065073,1759100,434618
2006:Q1,Black,2440752,3383572,1277384,246395,126130,828242,358718,182288,364416,942821,704358,234002,4461
2006:Q1,Hispanic,1621108,2431846,1179135,229464,141069,278576,146566,234424,222612,810738,637077,165640,8021
2006:Q1,Other,2983286,3975751,1646064,247548,400094,471057,241728,485754,483507,992466,800430,178843,13193
2006:Q2,White,54649777,64119036,19512668,3470796,11065606,8275476,4303531,7121688,10369272,9469259,7252750,1763163,453346
2006:Q2,Black,2427556,3399220,1303171,247892,118093,827015,350144,184031,368873,971663,738270,228621,4772
2006:Q2,Hispanic,1640412,2487425,1212251,231238,142255,277197,149134,250111,225239,847013,668080,169342,9591
2006:Q2,Other,3104812,4160422,1726405,259305,387440,499919,245468,534625,507261,1055610,852991,188485,14134
2006:Q3,White,55450026,65106232,19664278,3505923,11425182,8375862,4424224,7260857,10449906,9656206,7387799,1800782,467625
2006:Q3,Black,2425427,3429801,1324585,248461,114493,828087,356184,185118,372874,1004374,766955,232461,4958
2006:Q3,Hispanic,1665201,2545954,1238977,233469,148191,276411,155763,264980,228163,880753,694302,175449,11002
2006:Q3,Other,3279421,4396484,1801883,270425,411639,530659,257880,583603,540395,1117063,899368,202748,14947
2006:Q4,White,56574246,66383092,19662160,3527577,12298197,8482800,4609309,7334501,10468548,9808847,7466890,1828138,513819
2006:Q4,Black,2446603,3472491,1339826,253376,113935,831276,369614,184197,380268,1025888,784644,234510,6734
2006:Q4,Hispanic,1687333,2590927,1248345,234339,157602,276201,164546,277850,232044,903594,710690,178896,14008
2006:Q4,Other,3478954,4647949,1860836,282967,466731,562584,274917,629331,570583,1168995,937119,215172,16704
2007:Q1,White,57279594,67182313,19404134,3546796,12878947,8575233,4679566,7302674,10794963,9902720,7588452,1809778,504490
2007:Q1,Black,2453804,3489834,1338714,264805,111601,834554,371256,180038,388865,1036030,802349,227746,5935
2007:Q1,Hispanic,1690842,2613082,1238734,234728,165395,276019,170034,287632,240540,922240,727423,180479,14338
2007:Q1,Other,3621240,4839059,1883717,298302,505891,592927,283213,668186,606823,1217819,979029,222169,16621
2007:Q2,White,57731107,67808226,19268686,3570287,13243620,8678595,4875687,7365775,10805576,10077119,7698904,1830493,547722
2007:Q2,Black,2487503,3551509,1344689,273232,108120,856143,387783,179763,401779,1064006,827045,229256,7705
2007:Q2,Hispanic,1697129,2648421,1235504,236556,172284,278984,180019,301127,243947,951293,750151,184003,17139
2007:Q2,Other,3743241,5013235,1906888,311546,531700,609902,300926,713475,638798,1269995,1019095,233214,17686
2007:Q3,White,58403424,68584299,19061743,3588080,13323379,8769225,4964886,7368357,11508629,10180875,7784620,1877170,519085
2007:Q3,Black,2489838,3590549,1343868,278690,103205,879083,393969,178033,413701,1100711,856549,238197,5965
2007:Q3,Hispanic,1715838,2701455,1247701,239126,178056,282400,187195,313497,253480,985617,776924,191554,17139
2007:Q3,Other,3819363,5140567,1921515,322046,537927,624158,309847,753901,671172,1321203,1054578,248631,17994
2007:Q4,White,57748565,68059940,18821635,3612125,12622986,8847315,4905128,7262741,11988010,10311375,7870165,1906601,534609
2007:Q4,Black,2472535,3576885,1319581,286369,101476,895824,374509,172719,426407,1104349,846675,250309,7365
2007:Q4,Hispanic,1629527,2616218,1174955,243047,169708,288309,184704,299667,255828,986691,775732,193777,17182
2007:Q4,Other,3827537,5190491,1927841,333248,534342,635342,319031,734202,706485,1362954,1084561,258790,19603
2008:Q1,White,56082263,66495222,18293426,3643041,11615970,8909241,4656204,6851146,12526194,10412959,7935598,1890436,586925
2008:Q1,Black,2410059,3508820,1274771,290134,98168,913854,336100,157476,438317,1098761,833940,254048,10773
2008:Q1,Hispanic,1533359,2518822,1103632,249008,159721,294618,176524,276554,258765,985463,771730,194791,18942
2008:Q1,Other,3725497,5119145,1886348,341195,507393,643099,311334,688441,741335,1393648,1108854,262733,22061
2008:Q2,White,55122641,65511129,17867258,3661277,11136416,8987311,4634304,6766610,12457953,10388488,7970559,1895956,521973
2008:Q2,Black,2399262,3471367,1234487,287869,98037,936668,322860,154071,437375,1072105,798392,265556,8157
2008:Q2,Hispanic,1502517,2456192,1051887,255384,153272,302317,176037,265244,252051,953675,747188,191380,15107
2008:Q2,Other,3693501,5105599,1845912,344212,514570,651922,321540,665997,761445,1412097,1123143,267561,21393
2008:Q3,White,53139246,63622759,17442671,3673319,9712038,9047771,4349731,6556372,12840858,10483514,7942165,1899355,641994
2008:Q3,Black,2334824,3416377,1199390,293181,92185,959775,283446,146670,441731,1081553,792053,274290,15210
2008:Q3,Hispanic,1415694,2380120,996757,260900,140418,310079,167390,250159,254417,964426,747685,196414,20327
2008:Q3,Other,3560199,4990100,1802595,350333,453316,657153,308374,632086,786243,1429901,1129939,273754,26208
2008:Q4,White,50522544,60761566,17017842,3652456,7565467,9080634,3846923,6202080,13396164,10239022,7894076,1888792,456154
2008:Q4,Black,2244769,3308033,1168202,296306,81143,981406,222279,134482,424215,1063263,776366,280640,6257
2008:Q4,Hispanic,1340496,2288667,947238,264078,121455,317358,151044,230295,257199,948170,739577,198017,10576
2008:Q4,Other,3363590,4794127,1762343,353407,338763,657254,274244,585115,823001,1430537,1130047,276340,24150
2009:Q1,White,49008003,59151881,16609103,3633206,6715293,9087529,3724275,5865391,13517084,10143878,7893280,1830926,419672
2009:Q1,Black,2207717,3261040,1137270,296729,77829,1001131,201559,123027,423495,1053324,773506,275028,4790
2009:Q1,Hispanic,1267673,2218530,903801,267964,111325,324001,147780,211092,252566,950856,743034,200000,7822
2009:Q1,Other,3237824,4670537,1717139,354157,312816,652321,272406,538489,823209,1432713,1136767,272188,23758
2009:Q2,White,49566094,59701201,16272041,3627226,8119060,9140429,4072382,5433745,13036318,10135107,7892148,1802449,440510
2009:Q2,Black,2251269,3287597,1116382,294622,90227,1027505,227789,108348,422723,1036327,751423,278291,6613
2009:Q2,Hispanic,1269813,2204816,882403,273503,119262,332488,160984,188456,247720,935003,729113,197901,7989
2009:Q2,Other,3304110,4738800,1673959,353163,445476,652920,312533,483342,817406,1434689,1138890,270232,25567
2009:Q3,White,51091753,61214268,16024852,3613999,9550940,9198488,4447329,5330401,13048259,10122515,7857251,1797715,467549
2009:Q3,Black,2304419,3338313,1098457,289068,103029,1054902,257862,105033,429962,1033894,738299,286609,8986
2009:Q3,Hispanic,1279419,2211928,867408,278662,127074,341150,175315,177533,244787,932509,722701,201401,8407
2009:Q3,Other,3454847,4890772,1646689,349538,583782,653125,355833,455267,846537,1435924,1135178,272985,27761
2009:Q4,White,51188163,61321204,15855456,3623873,9791497,9238975,4606933,5186857,13017614,10133041,7851507,1785863,495671
2009:Q4,Black,2352552,3373248,1084164,297955,107742,1079742,266079,100276,437291,1020696,715100,294302,11294
2009:Q4,Hispanic,1289481,2206921,853941,284026,125716,348912,182250,165128,246948,917440,707177,201351,8912
2009:Q4,Other,3503207,4939152,1623706,354280,634555,649483,379241,423931,873955,1435944,1132969,273501,29474
2010:Q1,White,52117814,62219086,15786188,3613078,10319571,9399037,4770098,5297290,13033824,10101271,7794479,1735282,571510
2010:Q1,Black,2431441,3422672,1076210,296970,114502,1119636,273906,104180,437268,991231,680496,292310,18425
2010:Q1,Hispanic,1317283,2207186,839488,288092,126386,360920,189058,161738,241504,889903,680722,197932,11249
2010:Q1,Other,3601001,5025306,1612640,352663,706425,662673,402549,413671,874685,1424306,1119764,267533,37009
2010:Q2,White,51411447,61516500,15740887,3594532,9398103,9531911,4585684,5610176,13055207,10105053,7794757,1719592,590704
2010:Q2,Black,2454619,3421756,1069504,295286,110609,1147942,244291,115025,439099,967136,647738,298759,20639
2010:Q2,Hispanic,1327856,2189143,828452,290764,115746,370616,183276,165393,234896,861288,655959,194288,11041
2010:Q2,Other,3576819,4995979,1595803,350329,666201,675142,391718,419844,896942,1419160,1114401,265814,38945
2010:Q3,White,53088812,63175968,15624221,3587912,10513359,9715484,4908475,5766899,13059617,10087157,7773252,1729247,584658
2010:Q3,Black,2528213,3478219,1051327,291311,121524,1180960,268243,120217,444637,950005,619218,310592,20195
2010:Q3,Hispanic,1390833,2230059,843977,294065,120473,381480,195274,163122,231668,839226,634507,194988,9731
2010:Q3,Other,3751156,5162979,1571065,347077,781526,693946,429764,413075,926527,1411824,1104778,268900,38146
2010:Q4,White,54581003,64660224,15429136,3595225,11436292,9889388,5169226,5850733,13290224,10079221,7641850,1832003,605368
2010:Q4,Black,2586463,3555500,1035701,297288,136050,1216949,298571,126908,444033,969036,612081,336292,20663
2010:Q4,Hispanic,1355306,2181574,790867,291644,127926,377982,197869,166488,228798,826268,618711,197079,10478
2010:Q4,Other,3856050,5260558,1565439,351345,832720,727474,459845,424572,899163,1404509,1085256,281437,37816
2011:Q1,White,55492658,65566977,15157996,3621909,12247569,9964511,5335467,5873218,13366307,10074319,7619152,1824618,630549
2011:Q1,Black,2633554,3596565,1012637,300819,149793,1236791,316797,131211,448517,963011,610326,331867,20818
2011:Q1,Hispanic,1342946,2156973,770548,290640,134130,369358,195816,167191,229290,814027,608078,194317,11632
2011:Q1,Other,3950640,5347198,1548780,354896,873624,744806,479569,430779,914745,1396558,1082570,277507,36481
2011:Q2,White,55900929,65944083,15084894,3648200,12217142,10035456,5365995,5916233,13676163,10043154,7573629,1850405,619120
2011:Q2,Black,2662529,3626805,995599,310809,157283,1253851,320227,136091,452946,964275,611616,333960,18699
2011:Q2,Hispanic,1323814,2125857,758072,288081,133782,359616,188623,168242,229441,802043,599676,191562,10805
2011:Q2,Other,3957938,5344819,1540499,361984,847874,760527,485800,438408,909727,1386881,1075748,277150,33983
2011:Q3,White,54308872,64351786,15015052,3678478,10396382,10066007,5001395,6008334,14186138,10042914,7538233,1890857,613824
2011:Q3,Black,2613364,3582174,985563,304368,150932,1263582,277523,142680,457526,968810,610998,340448,17364
2011:Q3,Hispanic,1279041,2069268,746755,287359,119895,347478,167173,170762,229845,790227,589415,190904,9908
2011:Q3,Other,3797403,5180484,1544065,360424,683558,769393,452947,449903,920195,1383082,1069747,279966,33369
2011:Q4,White,55513120,65547159,14891215,3691392,11069832,10162326,5223955,6133636,14374803,10034039,7495638,1936696,601705
2011:Q4,Black,2650775,3627426,965327,306731,163885,1281219,301472,150484,458308,976651,614272,346615,15764
2011:Q4,Hispanic,1263209,2044191,728780,283341,124509,337520,165720,174255,230066,780983,582342,190090,8551
2011:Q4,Other,3896321,5274797,1540647,363189,710368,787761,477328,464089,931415,1378476,1062686,282825,32965
2012:Q1,White,57191156,67212096,14750324,3713331,12448201,10273875,5573434,6135572,14317359,10020940,7462139,1938543,620258
2012:Q1,Black,2724270,3687882,940702,316271,182351,1300275,341921,153665,452697,963612,605449,342537,15626
2012:Q1,Hispanic,1261596,2020589,712473,279196,134038,327863,168494,173130,225396,758994,564711,185052,9231
2012:Q1,Other,4045160,5411430,1533408,370118,790219,808213,514178,468196,927098,1366270,1055662,278909,31699
2012:Q2,White,57252656,67264522,14904695,3731305,12070866,10334523,5488926,6271211,14462997,10011866,7415597,1980185,616084
2012:Q2,Black,2725505,3691863,937769,311906,187467,1312109,328936,161976,451700,966358,604681,347349,14328
2012:Q2,Hispanic,1250071,1995021,722337,276182,130692,315950,155427,176779,217654,744950,553984,182442,8524
2012:Q2,Other,4054528,5413155,1557200,369572,735088,821024,507923,483463,938885,1358627,1047568,280492,30567
2012:Q3,White,58865842,68878934,15098413,3748392,12804087,10425982,5686629,6471217,14644214,10013092,7362203,2029116,621773
2012:Q3,Black,2770291,3749618,938994,309272,201348,1328608,351286,172951,447160,979327,612864,352959,13504
2012:Q3,Hispanic,1246952,1990162,729140,272936,135338,305321,152191,182777,212459,743209,550875,183962,8372
2012:Q3,Other,4189771,5543449,1593236,370008,764399,838822,529644,504351,942989,1353678,1039688,284417,29573
2012:Q4,White,59617630,69641428,15236708,3773785,12933307,10502403,5741406,6570064,14883756,10023799,7342535,2084955,596309
2012:Q4,Black,2813962,3788573,933759,310503,210927,1343972,356691,180315,452406,974611,599366,364648,10597
2012:Q4,Hispanic,1265220,1977917,734884,270338,135714,294228,143996,185226,213530,712696,529674,176503,6519
2012:Q4,Other,4272032,5622100,1628527,372814,747366,854967,537608,517301,963517,1350068,1035419,286799,27850
2013:Q1,White,61981432,71936273,15562594,3792011,14484811,10787574,6015351,6648029,14645903,9954841,7250241,2088811,615789
2013:Q1,Black,2906381,3901908,937574,316302,231641,1389869,390193,187207,449122,995526,631263,353601,10662
2013:Q1,Hispanic,1257740,1996116,752186,266846,146145,292134,143113,187127,208566,738376,546235,185015,7126
2013:Q1,Other,4543042,5881864,1690221,377931,839093,903449,567285,529053,974832,1338822,1025159,286346,27317
2013:Q2,White,62756144,72735106,15946226,3801324,14696787,11034501,6066258,6959840,14230169,9978962,7215359,2131383,632220
2013:Q2,Black,2984739,3990525,952799,313366,242807,1430602,396504,203781,450667,1005786,636359,358739,10688
2013:Q2,Hispanic,1295092,2025542,785434,263896,147378,292275,134636,197844,204080,730450,540745,182224,7481
2013:Q2,Other,4714671,6051862,1755218,378234,828587,960723,575587,561004,992508,1337191,1022134,287847,27210
2013:Q3,White,64708161,74719690,16336078,3819152,15467704,11297088,6309158,7247188,14243321,10011529,7206219,2185031,620279
2013:Q3,Black,3083197,4107919,965206,307288,258785,1476510,429106,220149,450875,1024722,647386,368626,8710
2013:Q3,Hispanic,1348225,2078887,826488,262810,152736,293722,132818,208171,202142,730662,540614,183472,6576
2013:Q3,Other,4945607,6289051,1825296,377212,861613,1022042,603464,591911,1007513,1343444,1024987,293168,25289
2013:Q4,White,66392991,76517636,16580357,3823656,16387432,11557501,6594099,7390627,14183964,10124645,7176790,2212171,735684
2013:Q4,Black,3209456,4256348,999032,311108,263008,1517349,466476,219636,479739,1046893,647872,383306,15715
2013:Q4,Hispanic,1438126,2188816,837982,266102,175932,317205,157342,206714,227539,750690,545132,192283,13275
2013:Q4,Other,5141930,6503572,1870415,376467,917449,1073839,639033,591604,1034765,1361642,1025249,302708,33685
2014:Q1,White,67764092,77854239,16781691,3814711,17227766,11617518,6651492,7388787,14372273,10090147,7139863,2199438,750846
2014:Q1,Black,3294452,4341816,1023544,318717,267470,1533054,475103,213919,510009,1047364,641087,389443,16834
2014:Q1,Hispanic,1538594,2297617,865860,268244,198849,333226,174354,200601,256484,759024,543782,200298,14944
2014:Q1,Other,5287056,6658272,1909960,377397,968746,1097493,652958,580263,1071455,1371216,1024734,307636,38846
2014:Q2,White,69423627,79532529,17086575,3821892,18128722,11680858,6789614,7636042,14388827,10108903,7123164,2230513,755226
2014:Q2,Black,3399158,4461907,1063342,324783,273104,1551656,495307,218683,535033,1062750,636888,408299,17563
2014:Q2,Hispanic,1660190,2428617,902682,272841,222579,350225,194444,204079,281767,768427,545026,207352,16049
2014:Q2,Other,5453948,6844997,1953723,378029,1026363,1123333,675638,590855,1097056,1391048,1028806,317837,44405
2014:Q3,White,69784419,79827249,17361426,3836350,17801859,11720337,6722324,7882569,14502385,10042830,7114931,2264471,663428
2014:Q3,Black,3472803,4552101,1100004,336996,269611,1568715,488930,223862,563982,1079298,637855,429121,12322
2014:Q3,Hispanic,1758628,2540238,934167,278015,237337,366953,207419,207950,308397,781610,550840,218601,12169
2014:Q3,Other,5518760,6932484,2000106,382168,990268,1147078,678304,602330,1132230,1413724,1035729,330752,47243
2014:Q4,White,70874369,80917750,17518656,3835776,18407024,11772910,6805379,8087428,14490577,10043381,7102634,2292684,648063
2014:Q4,Black,3562085,4661040,1130083,348467,273824,1589051,503502,227722,588390,1098955,639083,448059,11813
