Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2011:Q3,HS,9313253,11807940,3316312,1072507,771542,2798708,870597,958277,2019998,2494688,1817021,593652,84015
2011:Q3,NoHS,1528933,1949951,777376,240525,67787,319773,81157,141478,321856,421018,303244,108005,9769
2011:Q4,College,42472201,49792918,10780589,2265924,9855225,6822432,4173778,4891901,11003070,7320717,5542140,1328656,449921
2011:Q4,SomeCollege,9854902,12776747,3280875,1065140,1325263,2557590,993217,940549,2614114,2921845,2097243,712601,112001
2011:Q4,HS,9469235,11981352,3295635,1073120,816375,2868233,918466,953098,2056425,2512117,1818389,606113,87615
2011:Q4,NoHS,1527087,1942557,768870,240470,71732,320571,83014,136916,320984,415469,297167,108855,9447
2012:Q1,College,43773173,51103954,10673561,2283118,11021954,6836031,4421652,4920003,10947634,7330781,5534229,1332866,463686
2012:Q1,SomeCollege,10195663,13092477,3237809,1072889,1516033,2609357,1095284,954733,2606372,2896814,2064822,710883,121109
2012:Q1,HS,9718636,12196875,3270459,1076626,936063,2942276,994597,925737,2051117,2478239,1800922,595682,81635
2012:Q1,NoHS,1534710,1938691,755078,246282,80760,322563,86493,130090,317426,403981,287987,105611,10383
2012:Q2,College,43770132,51092507,10797519,2298583,10688353,6817925,4335196,5050331,11104600,7322375,5512869,1355947,453559
2012:Q2,SomeCollege,10313089,13193489,3283187,1071784,1492218,2646718,1082945,997173,2619463,2880400,2031852,722182,126366
2012:Q2,HS,9685249,12165235,3288822,1077577,866259,2996620,977471,919920,2038566,2479986,1795080,605878,79028
2012:Q2,NoHS,1514290,1913330,752473,241020,77282,322343,85599,126006,308608,399040,282029,106460,10551
2012:Q3,College,44995703,52322900,10948911,2313503,11302751,6819569,4465164,5230734,11242268,7327196,5484083,1390509,452604
2012:Q3,SomeCollege,10685098,13556204,3330721,1071888,1606572,2694740,1147181,1054102,2651000,2871106,2000609,737164,133333
2012:Q3,HS,9867550,12360591,3319295,1077379,913982,3059924,1019556,923237,2047218,2493041,1801493,615279,76269
2012:Q3,NoHS,1524506,1922468,760855,237836,81867,324500,87848,123221,306340,397962,279446,107501,11015
2012:Q4,College,45575484,52904579,11063835,2335005,11402125,6813674,4481833,5335524,11472584,7329095,5492138,1415713,421244
2012:Q4,SomeCollege,10908031,13767926,3363677,1075763,1647317,2740001,1175989,1090924,2674255,2859895,1972074,752004,135817
2012:Q4,HS,9945923,12426026,3335740,1079097,895524,3115156,1032652,907731,2060126,2480103,1772054,634485,73564
2012:Q4,NoHS,1539406,1931487,770625,237575,82348,326739,89228,118727,306245,392081,270729,110703,10649
2013:Q1,College,47438368,54736299,11323351,2351947,12715081,6940296,4671728,5426133,11307763,7297931,5428324,1436690,432917
2013:Q1,SomeCollege,11411082,14251264,3433763,1081763,1866823,2850855,1264030,1124336,2629694,2840181,1939455,755423,145303
2013:Q1,HS,10256845,12750975,3395480,1077230,1026702,3240745,1087499,886901,2036418,2494130,1808499,614503,71128
2013:Q1,NoHS,1582301,1977623,789981,242150,93084,341129,92684,114047,304549,395323,276620,107157,11546
2013:Q2,College,48070963,55394727,11642168,2364479,12888004,7075704,4687611,5697664,11039098,7323764,5424798,1459423,439543
2013:Q2,SomeCollege,11718890,14556956,3537637,1081343,1920739,2961797,1294678,1209122,2551641,2838066,1914873,768019,155174
2013:Q2,HS,10353231,12847265,3449718,1070510,1012186,3332713,1096069,902074,1983995,2494034,1800183,623339,70512
2013:Q2,NoHS,1607561,2004087,810154,240489,94630,347887,94629,113607,302690,396526,274744,109412,12370
2013:Q3,College,49618624,56991012,11952792,2385523,13539902,7226896,4854250,5953527,11078122,7372388,5446848,1500108,425432
2013:Q3,SomeCollege,12251953,15097694,3670907,1080382,2046121,3081325,1379868,1290671,2548420,2845741,1901021,786118,158602
2013:Q3,HS,10570172,13062541,3492639,1064880,1054348,3424223,1141718,910367,1974367,2492369,1796306,631763,64300
2013:Q3,NoHS,1644439,2044298,836729,235678,100467,356918,98711,112855,302941,399859,275031,112308,12520
2013:Q4,College,51222014,58739830,12217892,2391594,14403534,7439965,5090674,6083057,11113114,7517816,5450868,1528590,538358
2013:Q4,SomeCollege,12487223,15353801,3695963,1085526,2100041,3195417,1451654,1287988,2537213,2866577,1889558,801298,175721
2013:Q4,HS,10713476,13195263,3510419,1056401,1125445,3437284,1189330,916701,1959683,2481786,1771217,642145,68424
2013:Q4,NoHS,1759789,2177479,863512,243814,114801,393228,125292,120834,315998,417690,283401,118435,15854
2014:Q1,College,52630108,60190380,12449014,2389119,15205178,7533636,5150995,6103400,11359038,7560272,5454190,1542511,563571
2014:Q1,SomeCollege,12652544,15505407,3736949,1091309,2144817,3251246,1462821,1255186,2563078,2852863,1874201,804482,174180
2014:Q1,HS,10732968,13160079,3514204,1042021,1183778,3375629,1189410,898389,1956648,2427111,1730802,629141,67168
2014:Q1,NoHS,1868572,2296078,880888,256620,129058,420779,150680,126595,331458,427506,290273,120681,16552
2014:Q2,College,54272538,61900133,12758023,2400604,16064630,7634102,5278723,6318219,11445832,7627595,5478000,1572668,576927
2014:Q2,SomeCollege,12902358,15761793,3814284,1098540,2197878,3310566,1496679,1277120,2566726,2859435,1866472,821649,171314
2014:Q2,HS,10781620,13181994,3532589,1031596,1243988,3311066,1202038,917189,1943528,2400374,1691139,641213,68022
2014:Q2,NoHS,1980406,2424130,901425,266804,144271,450337,177563,137132,346598,443724,298274,128473,16977
2014:Q3,College,54841464,62471768,13039049,2418569,15871043,7723043,5246734,6535296,11638035,7630304,5511037,1616681,502586
